"y","x1","x2","x3","date","month_factor","fev","mar","abril","maio","jun","jul","ago","set","out","nov","dez","areas"
19,0,0,0,2023-03-01,"Mar",0,1,0,0,0,0,0,0,0,0,0,"Consolidated"
17,0,0,0,2023-04-01,"April",0,0,1,0,0,0,0,0,0,0,0,"Consolidated"
11,0,0,0,2023-05-01,"May",0,0,0,1,0,0,0,0,0,0,0,"Consolidated"
95,0,0,0,2023-06-01,"June",0,0,0,0,1,0,0,0,0,0,0,"Consolidated"
618,0,0,0,2023-07-01,"July",0,0,0,0,0,1,0,0,0,0,0,"Consolidated"
1538,0,0,0,2023-08-01,"Aug",0,0,0,0,0,0,1,0,0,0,0,"Consolidated"
2076,0,0,0,2023-09-01,"Sep",0,0,0,0,0,0,0,1,0,0,0,"Consolidated"
1289,0,0,0,2023-10-01,"Oct",0,0,0,0,0,0,0,0,1,0,0,"Consolidated"
311,0,0,0,2023-11-01,"Nov",0,0,0,0,0,0,0,0,0,1,0,"Consolidated"
64,0,0,0,2023-12-01,"Dec",0,0,0,0,0,0,0,0,0,0,1,"Consolidated"
65,0,0,0,2024-01-01,"Jan",0,0,0,0,0,0,0,0,0,0,0,"Consolidated"
63,0,0,0,2024-02-01,"Feb",1,0,0,0,0,0,0,0,0,0,0,"Consolidated"
14,0,0,0,2024-03-01,"Mar",0,1,0,0,0,0,0,0,0,0,0,"Consolidated"
23,0,0,0,2024-04-01,"April",0,0,1,0,0,0,0,0,0,0,0,"Consolidated"
15,0,0,0,2024-05-01,"May",0,0,0,1,0,0,0,0,0,0,0,"Consolidated"
46,0,0,0,2024-06-01,"June",0,0,0,0,1,0,0,0,0,0,0,"Consolidated"
709,0,0,0,2024-07-01,"July",0,0,0,0,0,1,0,0,0,0,0,"Consolidated"
2309,0,0,0,2024-08-01,"Aug",0,0,0,0,0,0,1,0,0,0,0,"Consolidated"
1800,0,0,0,2024-09-01,"Sep",0,0,0,0,0,0,0,1,0,0,0,"Consolidated"
813,0,0,0,2024-10-01,"Oct",0,0,0,0,0,0,0,0,1,0,0,"Consolidated"
223,0,0,0,2024-11-01,"Nov",0,0,0,0,0,0,0,0,0,1,0,"Consolidated"
1324,1,0,0,2018-08-01,"Aug",0,0,0,0,0,0,1,0,0,0,0,"Recent"
2528,1,0,0,2018-09-01,"Sep",0,0,0,0,0,0,0,1,0,0,0,"Recent"
